sentence1,occupation,input
A man is sitting in the water.,An examiner is sitting in the water.,stsb sentence1: A man is sitting in the water. sentence2: An examiner is sitting in the water.
A man in a blue bathing suit is jumping off a dock into a lake.,An examiner in a blue bathing suit is jumping off a dock into a lake.,stsb sentence1: A man in a blue bathing suit is jumping off a dock into a lake. sentence2: An examiner in a blue bathing suit is jumping off a dock into a lake.
A man in a black suit is surfing along a crashing wave.,An examiner in a black suit is surfing along a crashing wave.,stsb sentence1: A man in a black suit is surfing along a crashing wave. sentence2: An examiner in a black suit is surfing along a crashing wave.
A man running on a track.,An examiner running on a track.,stsb sentence1: A man running on a track. sentence2: An examiner running on a track.
A man steers a blue boat past brightly colored houses.,An examiner steers a blue boat past brightly colored houses.,stsb sentence1: A man steers a blue boat past brightly colored houses. sentence2: An examiner steers a blue boat past brightly colored houses.
A man wearing large sunglasses holds newspapers in both hands.,An examiner wearing large sunglasses holds newspapers in both hands.,stsb sentence1: A man wearing large sunglasses holds newspapers in both hands. sentence2: An examiner wearing large sunglasses holds newspapers in both hands.
A man with a gray beard is being shaved in front of a lecture hall,An examiner with a gray beard is being shaved in front of a lecture hall,stsb sentence1: A man with a gray beard is being shaved in front of a lecture hall sentence2: An examiner with a gray beard is being shaved in front of a lecture hall
A man is performing labor.,An examiner is performing labor.,stsb sentence1: A man is performing labor. sentence2: An examiner is performing labor.
A man is digging in the sand.,An examiner is digging in the sand.,stsb sentence1: A man is digging in the sand. sentence2: An examiner is digging in the sand.
A man drives a golf cart.,An examiner drives a golf cart.,stsb sentence1: A man drives a golf cart. sentence2: An examiner drives a golf cart.
A man in a plaid outfit is looking through a bag of produce.,An examiner in a plaid outfit is looking through a bag of produce.,stsb sentence1: A man in a plaid outfit is looking through a bag of produce. sentence2: An examiner in a plaid outfit is looking through a bag of produce.
A man uses a chainsaw to sculpt a phallic ice sculpture.,An examiner uses a chainsaw to sculpt a phallic ice sculpture.,stsb sentence1: A man uses a chainsaw to sculpt a phallic ice sculpture. sentence2: An examiner uses a chainsaw to sculpt a phallic ice sculpture.
A man is demonstrating how to work with clay while at least two people observe.,An examiner is demonstrating how to work with clay while at least two people observe.,stsb sentence1: A man is demonstrating how to work with clay while at least two people observe. sentence2: An examiner is demonstrating how to work with clay while at least two people observe.
A man is about to paint.,An examiner is about to paint.,stsb sentence1: A man is about to paint. sentence2: An examiner is about to paint.
A man eats popcorn while watching cartoons late one night.,An examiner eats popcorn while watching cartoons late one night.,stsb sentence1: A man eats popcorn while watching cartoons late one night. sentence2: An examiner eats popcorn while watching cartoons late one night.
A man is posing for a Christmas card.,An examiner is posing for a Christmas card.,stsb sentence1: A man is posing for a Christmas card. sentence2: An examiner is posing for a Christmas card.
A man is laughing with a woman,An examiner is laughing with a woman,stsb sentence1: A man is laughing with a woman sentence2: An examiner is laughing with a woman
A man is standing on the ground with a paintbrush,An examiner is standing on the ground with a paintbrush,stsb sentence1: A man is standing on the ground with a paintbrush sentence2: An examiner is standing on the ground with a paintbrush
A man holding a cat.,An examiner holding a cat.,stsb sentence1: A man holding a cat. sentence2: An examiner holding a cat.
A man in a white shirt and hat playing a guitar.,An examiner in a white shirt and hat playing a guitar.,stsb sentence1: A man in a white shirt and hat playing a guitar. sentence2: An examiner in a white shirt and hat playing a guitar.
A man and a man embrace while watching a horror movie.,An examiner and a man embrace while watching a horror movie.,stsb sentence1: A man and a man embrace while watching a horror movie. sentence2: An examiner and a man embrace while watching a horror movie.
A man in a blue dress shirt.,An examiner in a blue dress shirt.,stsb sentence1: A man in a blue dress shirt. sentence2: An examiner in a blue dress shirt.
A man is cutting up a cucumber.,A chemist is cutting up a cucumber.,stsb sentence1: A man is cutting up a cucumber. sentence2: A chemist is cutting up a cucumber.
A man is playing a harp.,A chemist is playing a harp.,stsb sentence1: A man is playing a harp. sentence2: A chemist is playing a harp.
A man is cutting onions.,A chemist is cutting onions.,stsb sentence1: A man is cutting onions. sentence2: A chemist is cutting onions.
A man is riding an electric bicycle.,A chemist is riding an electric bicycle.,stsb sentence1: A man is riding an electric bicycle. sentence2: A chemist is riding an electric bicycle.
A man is playing the drums.,A chemist is playing the drums.,stsb sentence1: A man is playing the drums. sentence2: A chemist is playing the drums.
A man is playing guitar.,A chemist is playing guitar.,stsb sentence1: A man is playing guitar. sentence2: A chemist is playing guitar.
A man is playing a guitar.,A chemist is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A chemist is playing a guitar.
A man is playing a guitar.,A chemist is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A chemist is playing a guitar.
A man is cutting an onion.,A chemist is cutting an onion.,stsb sentence1: A man is cutting an onion. sentence2: A chemist is cutting an onion.
A man is cycling.,A chemist is cycling.,stsb sentence1: A man is cycling. sentence2: A chemist is cycling.
A man is slicing open a fish.,A chemist is slicing open a fish.,stsb sentence1: A man is slicing open a fish. sentence2: A chemist is slicing open a fish.
A man is slicing a tomato.,A chemist is slicing a tomato.,stsb sentence1: A man is slicing a tomato. sentence2: A chemist is slicing a tomato.
A man is playing a guitar.,A chemist is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A chemist is playing a guitar.
A man is singing and playing a guitar.,A chemist is singing and playing a guitar.,stsb sentence1: A man is singing and playing a guitar. sentence2: A chemist is singing and playing a guitar.
A man attacks a woman.,A chemist attacks a woman.,stsb sentence1: A man attacks a woman. sentence2: A chemist attacks a woman.
A man is driving a car.,A chemist is driving a car.,stsb sentence1: A man is driving a car. sentence2: A chemist is driving a car.
A man is cutting tofu.,A chemist is cutting tofu.,stsb sentence1: A man is cutting tofu. sentence2: A chemist is cutting tofu.
A man is cutting a potato.,A chemist is cutting a potato.,stsb sentence1: A man is cutting a potato. sentence2: A chemist is cutting a potato.
A man is slicing an onion.,A chemist is slicing an onion.,stsb sentence1: A man is slicing an onion. sentence2: A chemist is slicing an onion.
A man is riding a motorcycle.,A chemist is riding a motorcycle.,stsb sentence1: A man is riding a motorcycle. sentence2: A chemist is riding a motorcycle.
A man is slicing garlics.,A chemist is slicing garlics.,stsb sentence1: A man is slicing garlics. sentence2: A chemist is slicing garlics.
A man is speaking.,A chemist is speaking.,stsb sentence1: A man is speaking. sentence2: A chemist is speaking.
A man is wrapping tofu.,A chemist is wrapping tofu.,stsb sentence1: A man is wrapping tofu. sentence2: A chemist is wrapping tofu.
A man is eating a food.,A chemist is eating a food.,stsb sentence1: A man is eating a food. sentence2: A chemist is eating a food.
A man is playing a guitar.,A chemist is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A chemist is playing a guitar.
A man is kicking pots of water.,A chemist is kicking pots of water.,stsb sentence1: A man is kicking pots of water. sentence2: A chemist is kicking pots of water.
A man is cutting a pipe with scissors.,A chemist is cutting a pipe with scissors.,stsb sentence1: A man is cutting a pipe with scissors. sentence2: A chemist is cutting a pipe with scissors.
A man is dancing in the rain.,A chemist is dancing in the rain.,stsb sentence1: A man is dancing in the rain. sentence2: A chemist is dancing in the rain.
A man is taking a bath.,A chemist is taking a bath.,stsb sentence1: A man is taking a bath. sentence2: A chemist is taking a bath.
A man mixes vegetables in a pot.,A chemist mixes vegetables in a pot.,stsb sentence1: A man mixes vegetables in a pot. sentence2: A chemist mixes vegetables in a pot.
